t [],x [],y [],z [],wrad [radius of rotating wall],stabrad [non-rotating wall],rotPM [rotations per min],spf2.cellRe [Cell Reynolds number],p2 [Pressure],spf2.sr [Shear rate],u2 [Velocity field - x component],v2 [Velocity field - y component],w2 [Velocity field - z component],spf2.U [Velocity magnitude],spf2.Fx [Volume force - x component],spf2.Fy [Volume force - y component],spf2.Fz [Volume force - z component],spf2.vorticityx [Vorticity field - x component],spf2.vorticityy [Vorticity field - y component],spf2.vorticityz [Vorticity field - z component],spf2.vort_magn [Vorticity magnitude],dvol [Volume scale factor],meshtype [],Date [],Length unit [],Model [],Version []
1.1,-0.062020188869608826,-0.04527830405648139,0.3811814031724853,0.085,0.069,50,306.56564307293024,-0.8318543549761908,19.141231727914892,0.006104729279668727,0.07524693877601407,-0.00998911740312194,0.07615216333915018,0,0,0,-2.038977413790514,-2.031171348230129,32.92865754938177,33.054191473159285,1.041305474264284E-6,6,Apr 5 2017 - 16:28,m,3d sliding wall - oCTB - Hyun 50.mph,COMSOL 4.3.1.110
1.1,-0.06044761846923774,-0.04945038234070192,0.38451973438310466,0.085,0.069,50,365.78191023818334,3.636724618948003,15.623063578131362,0.03484835563330384,0.08325418280255273,-0.010496980175507504,0.09086172702117809,0,0,0,-2.9209623684684773,-3.92964319741698,25.64852793924031,26.111704315632203,6.546289085403959E-7,6,Apr 5 2017 - 16:28,m,3d sliding wall - oCTB - Hyun 50.mph,COMSOL 4.3.1.110
1.1,-0.05708672126127777,-0.051527491756613676,0.38108947176316554,0.085,0.069,50,409.776562954529,8.862788472470607,11.985768187191649,0.04472053461890549,0.09188763746527234,-0.010277855238967216,0.10270783048951629,0,0,0,-5.385367801290435,-5.465884687488868,12.216061275982149,14.42602630216137,9.209083328143343E-7,6,Apr 5 2017 - 16:28,m,3d sliding wall - oCTB - Hyun 50.mph,COMSOL 4.3.1.110
1.1,-0.0663984912901869,-0.038602171306730555,0.3809771788141192,0.085,0.069,50,302.9759662498957,-8.343640215736025,14.277323975433832,-0.03693008517851122,0.06550854803326871,-0.008168647106677149,0.07564342570423813,0,0,0,-0.899586572510068,2.5625080257397763,19.676125200747357,19.862668660049344,1.256629554316029E-6,6,Apr 5 2017 - 16:28,m,3d sliding wall - oCTB - Hyun 50.mph,COMSOL 4.3.1.110
1.1,-0.06373314739387761,-0.04073861416827888,0.3846616687893806,0.085,0.069,50,408.57810547530556,-4.62112667711039,18.766048721197706,-0.030885428450960855,0.09217460760138674,-0.008985461522461859,0.09762584952685784,0,0,0,-3.2267091819470393,1.7357790834902316,26.63483435859586,26.88566499979835,9.554376559362436E-7,6,Apr 5 2017 - 16:28,m,3d sliding wall - oCTB - Hyun 50.mph,COMSOL 4.3.1.110
1.1,-0.07022741532687121,-0.031572021558851165,0.38132134351539937,0.085,0.069,50,324.08968782078966,-7.649443284078026,18.69099153576177,-0.04479651092334133,0.06106152141399773,-0.004204939853744044,0.07584799474917413,0,0,0,-0.4339448160355027,2.6951073326950796,17.131757378822158,17.34788236428119,1.0418246078320357E-6,6,Apr 5 2017 - 16:28,m,3d sliding wall - oCTB - Hyun 50.mph,COMSOL 4.3.1.110
